id,position,label,description,start_date,replaces,replaced_by,end_date,of,constituency,term,election,party
Q1459826,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1460359,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1460359,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1460450,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1460558,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1460573,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1460644,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1461000,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1461277,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1461321,Q17850767,member of the Reichstag of the Weimar Republic,German legislator between 1919 and 1933,"",,,,,,,,
Q1461321,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1461384,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1462129,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1462132,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1462281,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1462656,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1462679,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1462679,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q1462778,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1462786,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1462787,Q17481175,Member of the Landtag of Baden-Württemberg,"","",,,,,,,,
Q1462787,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1463252,Q17850767,member of the Reichstag of the Weimar Republic,German legislator between 1919 and 1933,"",,,,,,,,
Q1463252,Q18618563,Member of Landtag of Rhineland-Palatinate,"","",,,,,,,,
Q1463252,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1463260,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1463260,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1463284,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1463403,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1464127,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1464127,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q1464193,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1464946,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1465389,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1465583,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1465583,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1465650,Q19360355,Member of the Hamburg Parliament,"","",,,,,,,,
Q1465650,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1465916,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1465950,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1465950,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q1465965,Q17519166,Member of the Hessian Parliament,"","",,,,,,,,
Q1465965,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1466033,Q17521638,Member of the Landtag of Lower Saxony,"","",,,,,,,,
Q1466033,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1466169,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1466201,Q18327335,Member of the Abgeordnetenhaus of Berlin,"","",,,,,,,,
Q1466201,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,Berlin Neukölln,,,
Q1466327,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1466327,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q1466388,Q18618563,Member of Landtag of Rhineland-Palatinate,"","",,,,,,,,
